0, 1, Cultivar, 1984-05-19
1, 5, Cosechar, 2017-05-19
2, 8, Fumigar, 1978-06-10
3, 5, Reparar, 1979-03-10
4, 4, Reparar, 2001-07-19
5, 8, Reparar, 2007-09-01
6, 7, Reparar, 2020-05-29
7, 0, Alambrar, 1987-12-27
8, 7, Alambrar, 2007-08-02
9, 8, Arar, 1998-02-26
10, 5, Cosechar, 1972-03-17
11, 7, Reparar, 1973-01-01
12, 3, Fumigar, 2003-05-02
13, 0, Cosechar, 2002-07-22
14, 8, Arar, 1986-09-10
15, 4, Cosechar, 1998-08-01
16, 6, Arar, 2017-10-27
17, 9, Reparar, 1970-06-07
18, 8, Arar, 2001-09-08
19, 7, Cosechar, 2010-02-25
20, 3, Reparar, 1981-05-16
21, 8, Fumigar, 1987-11-24
22, 9, Reparar, 2013-09-10
23, 3, Arar, 1975-11-06
24, 6, Cosechar, 1977-07-29
25, 7, Cosechar, 2018-02-04
26, 9, Fumigar, 1971-09-07
27, 8, Fumigar, 2014-03-21
28, 9, Reparar, 1995-03-29
29, 0, Alambrar, 1999-06-13
30, 8, Reparar, 2004-03-27
31, 1, Reparar, 2008-12-23
32, 7, Cultivar, 1993-12-31
33, 8, Cultivar, 2018-10-28
34, 4, Cosechar, 1989-03-07
35, 7, Arar, 2007-07-01
36, 8, Reparar, 2003-11-17
37, 6, Cultivar, 2016-06-12
38, 5, Alambrar, 2022-04-11
39, 1, Cosechar, 1982-10-05
40, 1, Arar, 2003-10-19
41, 0, Arar, 2012-01-01
42, 0, Reparar, 1981-09-07
43, 7, Cultivar, 1971-06-28
44, 9, Cultivar, 1980-09-21
45, 9, Cultivar, 1978-10-23
46, 9, Arar, 1987-05-24
47, 2, Cultivar, 1987-08-07
48, 8, Fumigar, 2006-12-01
49, 2, Cultivar, 2004-03-07
